,id,suc,store_point,lon,lat
126,Danos,Santa Ana Coatepec: sin detalles,POINT (-98.43568069999998 18.8363244) ,-98.4356807,18.8363244
127,Danos,Santo Domingo: sin detalles,POINT (-98.46452750000003 18.5990875) ,-98.4645275,18.5990875
128,Danos,Ex-convento de San Miguel Arcangel: sin detalles,POINT (-98.4045208 19.1587804) ,-98.4045208,19.1587804
129,Danos,San Cristobal Tepontla: sin detalles,POINT (-98.32663960000002 19.0696041) ,-98.3266396,19.0696041
130,Danos,Iglesia de Santa Mara Tonantzintla: Cada de la cupula de la entrada principal,POINT (-98.31974120000001 19.0298414) ,-98.3197412,19.0298414
131,Danos,San Francisco: Cada de la decoracion y agrietamiento en el campanario.,"POINT ( -99.240801, 18.982033) ",-98.3087243,19.0221617
132,Acopio,UAEM Facultad de Comunicacion Humana,POINT (-99.240801 18.982033) ,-99.240801,18.982033
133,Acopio,UPEMOR,POINT (-99.140099 18.889417) ,-99.140099,18.889417
134,Acopio,Cruz Roja CITPSI,POINT (-99.212921 18.929086) ,-99.212921,18.929086
135,Acopio,"Calle de la Luz 43, Chapultepec Cuernavaca",POINT (-99.211266 18.917817) ,-99.211266,18.917817
136,Acopio,"Emiliano Zapata 7, Ticuman. Tlaltizapan",POINT (-99.121324 18.761811) ,-99.121324,18.761811
137,Acopio,Hotel Villa del Conquistador,POINT (-99.228856 18.956067) ,-99.228856,18.956067
138,Acopio,Hala Ken,POINT (-99.213369 18.9462) ,-99.213369,18.9462
139,Acopio,Colegio Miraflores,POINT (-99.19793 18.922025) ,-99.19793,18.922025
140,Acopio,DIF Las Quintas,POINT (-99.217428 18.916205) ,-99.217428,18.916205
141,Acopio,Sams,POINT (-99.227235 18.943375) ,-99.227235,18.943375
142,Acopio,Sumesa ,POINT (-99.216571 18.940903) ,-99.216571,18.940903
143,Acopio,Urban Crossfit,POINT (-99.229676 18.943419) ,-99.229676,18.943419
144,Danos,Tlatempa,POINT (-99.286021 18.971224) ,-99.286021,18.971224
145,Danos,Hueyapan,POINT (-98.690135 18.885328) ,-98.690135,18.885328
146,Danos,Tetecala,POINT (-99.385713 18.733221) ,-99.385713,18.733221
147,Danos,Cabecera Municipal Zacatepec,POINT (-99.194211 18.655273) ,-99.194211,18.655273
148,Danos,Cabecera Municipal Tlaquiltenango,POINT (-99.162907 18.629468) ,-99.162907,18.629468
149,Danos,Autopista Mx-Acapulco km 109,POINT (-99.230957 18.764965) ,-99.230957,18.764965
150,Danos,"Ocuituco, Cerro de Ocoxaltepec",POINT (-98.774409 18.879514) ,-98.774409,18.879514
151,Danos,"Yautepec, Colonia Nopalera 80 casas destruidas",POINT (-99.057278 18.798843) ,-99.057278,18.798843
